书名,作者,介绍,更新时间
宿命之环,爱潜水的乌贼, 诡秘世界第二部。1368之年，七月之末，深红将从天而降。 ,2025-01-13 12:30
这是我们的战锤之旅,褪色无忧, (已有起点完结精品，放心阅读)这是一个黑暗绝望的时代。在黑暗的第四十一个千年，帝皇早已远离人世，神之子嗣不再行走人间。人类的未来只剩下了无边无际的黑暗与战火，人类的命运似乎注定要在那臃肿僵化的帝国上慢慢腐烂。直到那来自另一个世界的灵魂们到来。“伙计们，有一个好消息一个坏消息，你们要先听哪一个？”“好消息吧。”“好消息是我们穿越了，这是一个浩瀚的星际时代，而我们是有着两心三肺，地位崇高的星际超人，貌似还配套赠送了一个很wagggh的外挂。”“太棒了，这不就是异世界爽文主角的待遇吗？我已经迫不及待的要享受异世界生活了，如果可以的话能把爸妈接过来吗？对了，那坏消息呢。”“坏消息是，这个世界在我们那叫战锤40k。”“......啊？”他们冷静思索，去探索这陌生的世界。他们随遇而安，毕竟现实不再为他们留有余地。他们哭得像个被踩了脚趾的屁精，却依旧拿出勇气勇敢前进。在黑暗的第四十一个千年，人类再度迎来了一次复兴的机会。而这一次，人类能把握住吗？——让战争开始吧！从泰拉的天空，覆盖到银河的边际。让星海沸腾。让群星闭目。让我们再次见证银河被解放。被人类解放。 ,2025-03-09 20:01
融合是最高贵的召唤方式！,杯面21, 天城光穿越到了一个似是而非的《游戏王GX》决斗学院之中。这里充斥着认为只有融合召唤才是最高贵召唤方式的极端狂热者，他们试图通过决斗的方法改变其他次元决斗者的思维，迫使他们加入“融合绝对至上”派系。若是不从，就要将人变成卡片，可谓扭曲又疯狂。天城光看了一下自己卡盒里全套的融合魔法、陷阱卡，沉默良久，欣然认可。对，太对了。你说的极对。融合是最高贵的召唤方式！ ,2025-03-09 23:21
书名,作者,介绍,更新时间
系统很抽象，还好我也是,扑街天线, 【任务一：初入修仙界，你已得到筑基法门，请击杀「不死神龙」试试吧】“系统哥，且先不提新手任务是杀条龙这件事，有个小问题，我没穿越。”【任务二：末日降临，觉醒E级异能后，就该大展身手，请单挑「丧尸王」试试吧。】“哥，先不提我还在现代，就按照你的逻辑来，我刚刚不也还在修仙界吗？而且你倒是给我觉醒异能啊，杀丧尸王，我？”【任务三：全女世界，你成为了唯一的珍贵男性，请向至少三个不同的目标，播撒你的汗水试试吧。】“哥，我这辈子没求过谁，我现在跪下了，你带我去这个世界吧，真求你了。”……“等等，你他妈管蚯蚓叫不死神龙？”“等等，生化模式里击杀也能算杀？”“等等，轻哼也可以算是播撒成功？”……【任务四：青楼斩妖。】“嘿嘿。”……“叔，你别笑啊，我真是来斩妖的！”“双手抱头蹲下！谁让你站起来了？”“系统，你害我害的好苦啊！！！”……本书又名：《系统能救我于水火之中，但是你先别管水火是哪里来的》、《如果现代能修仙的话，足道也是道！》、《我压根没穿越，系统硬说我穿越了》 ,2025-03-10 00:00
元始法则,飞天鱼, 星空中的“道城”，修行最初的萌芽之地“祖洲”，浩瀚宇宙水之起源“神仓古泽”，虚暗禁区“战斧座空洞”。还有藏在宏观中的天界，与微观中的地府幽境。地球的微观世界……显微镜下——豆子般大小的佛祖舍利，宛若一颗浅红色星球，高耸的山脉和干枯的古河道密布，荒凉而辽阔，蔚为壮观。研究人员怀着惊叹情绪，细细观察这片微观世界。不久后，有了震撼的发现。一艘形制古老且外观诡奇的青铜船舰，停泊在这颗浅红色星球干枯的海洋中，锈迹斑斑，桅杆帆布清晰可辨，不知已经搁浅在那里多少岁月。调大倍率，只见船上尸骨累累，有身穿铠甲的白骨人类，也有凤尸蟒骸，甲板上还有大片的墓海碑林。它明明只有四百六十纳米长，却如此宏伟神秘。 ,2025-03-10 03:02
北齐怪谈,历史系之狼, 天保十年，英雄天子高洋弹奏起了髀骨琵琶，自弹自唱，伴奏曲响起，怪诞，荒唐，恐怖，绝望且痛苦。这一年，住在漳水边上的刘桃子兜住了些鱼，故事便开始了。 ,2025-03-10 06:00
青山,会说话的肘子, 飞光飞光，劝尔一杯酒。吾不识青山高，黄地厚。唯见月寒日暖，来煎人寿。 ,2025-03-10 00:08
晋末长剑,孤独麦客, 正如唐代诗人徐夤在《两晋》诗中所写的那般：“三世深谋启帝基，可怜孀妇与孤儿。罪归成济皇天恨，戈犯明君万古悲。”西晋得国不正，犯了太多错误，继承了东汉、三国以来的种种弊端。到了晋末，已经积重难返，亟待重新构建帝国的价值观及统治体系。但是“谁知高鼻能知数，竞向中原簸战旗”，历史没有给他们这个机会。自作孽，不可活。穿越者来到逐渐崩溃的西晋末年，他所能做的是——先活下来。 ,2025-03-10 02:29
大奉打更人,卖报小郎君, 《大奉打更人》（第一卷）实体书已在天猫、当当、京东等全平台，以及各个实体书店发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。 ,2022-01-05 13:25
