书名,作者,介绍,更新时间
从赘婿开始建立长生家族,天弦画柱, 陆长生穿越仙侠世界，成为一个仙门落选的农户少年。好在有着多子多福系统，只要开枝散叶，培养子嗣，便可获得奖励。于是，陆长生开局入赘修仙家族，开始自己忌争忌斗，广结人缘，开枝散叶，发展家族的修仙途。时光轮转，纪元更迭，无数仙道至尊，魔道巨擘，妖族大圣，天骄红颜，从崛起到落幕，泯灭于岁月长河。唯有长生陆家亘古不变，永世长存，矗立于仙道之巅，与天地同寿，日月同辉。 ,2025-03-09 23:30
长青仙尊,阴玖月, 活到七十岁，没有外挂，没有金手指的李锐回首一生，一无所获、一事无成，就在他已经被岁月磨平棱角，已经认命的时候，竟然觉醒了完美人生系统。“来来来，你告诉我，一个七十岁快入土的人要怎么完美人生?!”【你天生武骨，自出生一刻起便注定你将成为天下第一，获得天赋——武骨。】【十岁的你拜入名门，在宗门大比中大放异彩，一战成名，被仙师看重，获得天赋——神功大成。】他望着【得仙子青睐，成神仙眷侣】陷入了沉默。“七十岁正是干事的年纪!”......多年以后。李锐终于以无上先天道胎横空出世，斩万妖、破万邪，掌御仙界十万载，被世人称作——长青仙尊。 ,2025-03-10 00:04
坐看仙倾,错哪儿了, 我是大学生，我迷路了，这里的人都叫我季少爷，还劝我节哀顺变。没等我反应过来，被选入仙门的县令千金便来与我退婚。呵，真是有意思的开局。我开始了解这个奇怪的世界，看到了仙道昌隆，王朝兴盛之下的饿殍千里，民不聊生。这些修仙者吃尽了民脂民膏，还炼空天地灵脉，最后大笑一声飞升而去，与那些卷款外逃的赃官有何区别？我一开始是真没想过要卷入这场纷争，只是偷偷做了些力所能及的。季忧在群山之巅，坐看万里长空之下仙道倾塌时，深感无辜。 ,2025-03-09 20:00
泼刀行,张老西, 国术、民俗、志怪、禁忌、朝堂、江湖、宗师、斗法、过阴、出马、请神、傩戏、密教、长生…江湖路，三教九流，五花八门。玄门中，民俗怪谈，千奇百怪。这是个喧嚣的时代，危险与机遇并存的时代。李衍横刀而行，终将诸邪辟易，百无禁忌！ ,2025-03-10 00:33
书名,作者,介绍,更新时间
古代末世的文弱书生,陈词懒调, 穿越古代末世，成为众人眼中的“文弱”书生。——古代乱世里的逃生、打怪、基建文。————————注：无异能，纯架空古代。因为不涉及任何真实历史朝代和人物，又含末世元素，所以没在历史分类，归到了玄幻。 ,2025-03-10 00:59
钢铁火药和施法者,尹紫电, 魔法难道真的只是愿望机?不，在一个真正存在魔法的宇宙中，魔法一定会像物理规律那样简单而富有美感。这是一个量产型魔法战工具人得知了魔法终极本质的故事。但那又如何呢?就像鸟儿不懂空气动力学也能够飞翔，魔法师使用魔法也不需要了解其本质。得知了魔法的终极本质同样不意味工具人能摇身一变成为大魔法师。但渴望知识是人类的本能，好奇心是人类文明的第一推动力。哪怕是本就该没有道理可言的魔法，人类也希望能理解其中的内在运行规律。对魔法的终极本质的探究，不需要任何理由！书中的故事发生在一个社会环境大约处于我们的宇宙16世纪的平行宇宙，不过由于一点蝴蝶效应，这个星球的大陆和海洋与我们的地理环境不尽相同。在这里，火枪正在崛起，但盔甲尚未谢幕，军事理论日新月异，制度和工艺上的创新层出不穷。而且这个世界比我们的还多了一样东西：魔法。世界正在发生天翻地覆的大变革，谁也不能置身事外。 ,2025-03-10 07:00
混在末日，独自成仙,言归正传, 【科幻末日背景+独自修仙主角，非无脑爽文】这是一个支离破碎的世界，人类文明在刃兽灾变后的星球上苟延残喘，地下堡垒中的文明火焰正时隐时现，太空中的人类精英酝酿着反攻刃兽的终极计划，人类的前路却有些星光黯淡……“所以说。”某位苦修一百二十五年结果渡劫失败一缕残魂来到这个‘古怪’世界的大乘期高手仰天长叹：“这关贫道屁事啊。”————————【PS：找老书点作者名，不一一介绍了，坑品有保证。新读者群有空了再建。双开期间更新求稳，上架后择机加更。】 ,2025-03-09 21:46
天命皆烬,阴天神隐, 当年定鼎造命，金戈铁马，坐断江山，天宗上门，永镇四方，锦绣中好一片靡靡天音。今朝大劫将至。昔日盛世繁华，眼下不过残桓断壁，枯骨没荒草。宗门怀贰心，社稷何人思？权贵竞豪奢，黎民谁人问？血泪如涟声声诉，天意饶把孩儿骨。玄律穷极天地诛，烽火渐起靖乱途。踏天路，伐命途。昏昏浊世，一剑皆烬！========要素：武道乱世，赛博修仙，两界门已有一千五百万字w订完本作品《燃钢之魂》《怪物被杀就会死》《高天之上》 ,2025-03-10 00:02
我的末日列车,中世纪的兔子, 陈莽穿越至一个末日世界中，在这个世界，尸潮随处可见，遍地死气。幸存者们需成为列车长，通过收集矿物等资源一步步升级强化打造自己的列车，从而操控列车避开尸潮存活下去。或成为其他列车长的奴隶，寄人篱下。所有列车的「载具配件」都有等级上限，每次升级效果都会变强。而他天生自带的胎记却让他拥有无上限升级载具配件的能力。当数个如「车刃」「钻头」等被其他列车长瞧不上的白色载具配件，被他升至数百级后。才发觉自己早已无敌于世间。至此——一辆足足有数百个车厢武装到牙齿的巨无霸列车，开始在末日荒野中咆哮前进。…“这个世界只有两种人。”“列车长或奴隶。” ,2025-03-10 00:04
神佛竟是我自己,独孤欢, 穿越志怪世界，观想诸天神佛。《钟馗嚼鬼图》，日啖恶鬼三百万，阎王见我亦低头！《王灵官镇守凌霄图》，三眼能观天下事，一鞭惊醒世间人！《济公降龙图》，百衲衣遮天蔽月，酒葫芦装载乾坤！《真武荡魔图》、《哪吒闹海图》、《二郎真君斩妖图》、《观音大士无量功德图》……蛟龙走水、狐仙拜月、山君邀宴，白骨抛杯……出道仙、走阴人、阴阳先生、道门天师……光阴逆旅，沧海桑田，张九阳蓦然回首，神佛竟是我自己？（本书涉及民俗、志怪、道教、神话，喜欢的朋友千万不要错过哦）PS:已有万订完本作品，作者人品过硬，从不太监。 ,2025-03-09 17:48
魔王大人深不可测,晨星LL, 魅魔记者：“尊敬的魔王大人，我记得魔神大人给您的命令是向我们的敌人散播恐慌，可我怎么听说您在我们敌人的市中心买下了一整条街？”罗炎：“愚蠢！战术换家懂不懂？我把人类的城市买下来，人类不就只能搬到我的地下城去住了？”魅魔记者：“可，可我听说，那些人类听说连魔王大人都去圣城买房，结果非但没有引起恐慌，反而让圣城的房价翻了一番。”罗炎沾沾自喜说道。“这恰恰说明我的计划是正确的！”与此同时地下城，挖矿的骷髅（玩家）们正在嚷嚷。“狗策划滚出来！”“说好的神宠、神装、养成、成就、商城、师妹、师姐……系统呢？”“这游戏真就只能挖矿啊？！” ,2025-03-09 10:00
黎明之剑,远瞳, 高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。 ,2022-07-10 15:02
炮火弧线,康斯坦丁伯爵, 王忠来到了异世界，卷入了这个世界的世界大战。他得到的外挂是个即时战略一样的俯瞰视角，还能看到麾下部队的视野！于是他果断开始微操：“机枪阵地左移五厘米！反坦克炮放在右边的树林里！”就这样三年过去了，王忠看看手里的元帅权杖，再看看皇帝钦差背后的双头鹰旗。“在我的故乡有句老话，‘王侯将相宁有种乎’，钦差大人，你可知道啊？” ,2025-03-01 00:25
乱世书,姬叉, 仗剑江湖载酒行，楚腰纤细掌中轻。少年肩扛长刀，腰间挂酒，大步前行，心中的江湖却隐约难见。乱世书中翻一页，江湖夜雨数十年。蓦然回首，已劈碎了人间。 ,2025-03-03 15:30
神农道君,神威校尉, 【全新设定】【体系完善】一觉醒来，你成为了玄幻游戏中的【司农】官。【王朝鼎盛】版本：你苦修《节气令》，从【风调雨顺】到【呼风唤雨】、从【五谷丰登】到【万物生长】、号令四季，默默发育。你小有成就，随军出征、掌《四农书》，冰封千里大河，为大军开道，《瘴气》杀敌，《雾影》阻万军，立不世战功，位居大司农，窃王朝命数，尽归吾身。【灵气复苏】版本：你养育【山精野怪】：双生并蒂莲使你水火不侵，七星剑竹一剑光寒十九州、寄生种以生灵为养分、虚空种扎根空间吸收天地灵气……你开辟内景地，育仙种，【太乙神莲】分身千万！【生命古树】不死不灭！“一粒真种落丹田，可育灵苗活万年，有朝一日功行满，我命由我不由天！”“心火日照，肾水为源，脾为土蔵、肺金练气、肝气养神。以身为基，育原生种、养万法，成就神农道君！” ,2025-03-10 00:50
凡人修仙传,忘语," 一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！诸位道友，忘语新书《仙者》，经在起点中文网上传了，欢迎大家继续支持哦！ ",2016-01-05 17:02
慢着，请别叫我昭烈帝,世间一点咸, 什么英雄豪杰，什么江山如画，不过是死了数千万人，也没出好结果的乱世凶年。刘备只想尽快一统河山。 ,2025-03-09 23:57
艾泽拉斯圣光黎明,驿路羁旅, 好消息是重生在了熟悉的世界里，坏消息是这里叫阿古斯。好消息是黑暗泰坦还没来，坏消息是祂老人家已经启程了。好消息是得到了大人物赏识，坏消息是那家伙叫阿克蒙德。好消息是能当个先知神棍，坏消息是容易被维伦打死。好消息是还有时间逆转未来，坏消息是成功率...啧，不甚理想。好消息是...算了吧，剩下的全是坏消息！所以去踏娘的既定历史吧，新的历史将由一个“圣枪”守备官来书写，这活基本没什么难度，反正这里既没有讨厌的青铜龙，也没有那么多执拗又麻烦的NPC，所以，请见证他的荣光万丈，又或者提前烧根香，预测一下他的死相有多惨。亲爱的观众们，舞台已搭好，灯光已齐备，大幕已拉开，接下来将上演的剧目叫《圣光的奇迹》（划掉）...咳咳，我们应该叫它《圣光の新奇迹》！ ,2025-03-10 08:01
这游戏也太真实了,晨星LL, 这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的肝，下个月他又能换一套全新的动力甲，到时候带我们开全新的地图，去广阔的废土捡更多的垃圾！……穿越到废土世界的楚光发现，自己解锁了避难所系统，能够从平行世界召唤名为“玩家”的生物。从那天开始，整个废土都不正经了。 ,2024-08-10 11:30
末法时代的尸解仙,钛舰, 帝王将相，盖世伟业；贤士迁客，千古文章；香车美人，英雄气概……吾只问一句：可得长生否？这是一个穿越末法古代求长生的故事。光阴飞逝，岁月荏苒；尸解羽化，驻世长生。 ,2025-03-10 00:48
明尊,辰一十一, 大哉乾元，万物资始，乃以统天。无上明尊，时乘六龙，所其无逸。———————————————————这是一个土著主角的穿越者老爷爷苏醒，金手指成精了的故事。…………………………我钱晨一路走来，从来只靠自己！太上爸爸救我！ ,2025-03-09 22:20
重回1982小渔村,米饭的米, 【这是一个海边人上山下海的日常小说！没有装逼打脸，只有上山下海的悠闲！年代文，日常，赶海，种田，养娃，家长里短，不喜勿入，勿喷！】叶耀东只是睡不着觉，想着去甲板上吹吹风，尿个尿，没想到掉海里回到了1982年。还是那个熟悉的小渔村，只是他已经不是年轻时候的他了。混账了半辈子，这回他想好好来过的，只是怎么一个个都不相信呢……上辈子没出息，这辈子他也没什么大理想大志向，只想挽回遗憾，跟老婆好好过日子，一家子平安喜乐就好。 ,2025-03-09 23:59
神话版三国,坟土荒草, 陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：476971307（老群炸了，这是新的）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：188981452（这个之前也炸了，换新的了）五群：850567843（之前的炸了，换新的了） ,2025-03-10 08:00
永噩长夜,zhttty, 未知污染侵袭世界，仙神妖佛尽数沉沦。生化狂潮，蔚蓝再临，奇点登台，人革逆袭……来自未来的进化与源自过去的国术相逢，气血磅礴的人仙武道与诡异扭曲的污染相战。我自长夜之前沉睡，我于永噩之地苏醒，带着未来的无限可能与位面救赎的希望，撼树的蚍蜉也是血溅五步的匹夫，他的故事才刚刚开始。以下为不正经简介：我是小西王啊啊啊啊杀杀杀杀杀杀杀…………………… ,2025-03-09 21:00
书名,作者,介绍,更新时间
奥特曼任意键：启明,说的道理, 【智斗】【不虐主】【高端局】【不毁原剧人设】————————这个世界，防卫队由各种重量级成员构成:总监城府深密，喜欢微操——土桥祐参谋急于求成，胆大妄为——何志，权藤队长身残志坚，心直口快——诸星团副队嫉恶如仇，固执己见——西条凪科研人员技术精湛，独具匠心——阿加慕斯外界，熊本市的正木敬吾准备引领人类进化，绫香市的爱染诚进行着英雄游戏。藤宫博也决心消除人类，猎手骑士剑为了消灭博伽茹不惜牺牲地球……与此同时，海底的加坦杰厄苏醒在即，宇宙中的斯菲亚黑洞快速逼近。生命之树引来了才气博士与天照女王，亚波人奉安培拉星人之命前来打头阵……而你，则拥有一个能变身为所有奥特曼与怪兽的【手表】。与天斗，与人斗，其乐无穷。 ,2025-03-09 12:01
天命之上,风月, 世界自毁灭之后重建。于危崖之上，再起万丈高楼。被称为天选者的人们活跃在现实的幕后，行走在历史的阴影中，掌握超凡脱俗的力量，领受着崇拜与敬畏。有人说他们身负天命，万中无一。可季觉对天命不感兴趣。他只想有朝一日，去看一看天命之上的风景。“……”记录者写到这里停下了笔，看向那个满手油污的汽修工：“所以，这就是你破坏国际秩序、贩卖禁忌武器、资助颠覆组织、引发两极大战、图谋暗中统治世界的理由？”“关我屁事儿！”季觉翻了个白眼：“我就是一个破修车的！” ,2025-03-09 19:58
深海余烬,远瞳, 在那一天，浓雾封锁了一切。在那一天，他成为了一艘幽灵船的船长。在那一天，他跨过浓雾，直面了一个被彻底颠覆而又支离破碎的世界——昔日的秩序已经荡然无存，奇诡的异象主宰着文明社会之外的无尽海域，孤岛城邦与挑战大海的船队已然成为文明世界仅存的灯火，而旧日的阴影却仍在幽邃深海中蠢蠢欲动，等待继续吞噬这个将亡未亡的世界。但对于失乡号的新船长而言，只有一个问题是他首先要考虑的——谁知道船咋开啊？！ ,2024-09-20 09:03
我杀到了影视世界,二月江边, 千秋不朽业，尽在杀人中。宋仁进入了电影的世界。故事的一切从最初的一场功夫梦开始——内练一口气，外练筋骨皮。我叫宋仁，杀身成仁说的正是在下。没错，我是一个好人，反正我是这么觉得的。 ,2025-03-09 23:30
光阴之外,耳根, 天地是万物众生的客舍，光阴是古往今来的过客。死生的差异，就好像梦与醒的不同，纷纭变换，不可究诘。那么超越了生死，超脱了天地，在光阴之外，等待我们的是什么？这是耳根继《仙逆》《求魔》《我欲封天》《一念永恒》《三寸人间》后，创作的第六部长篇小说《光阴之外》 ,2025-03-09 21:29
我和她们穿越到北宋,任鸟飞, 顶级历史领域创作者张纯、顶级军事点评家李琳、顶级财经主播叶诗韵、科技圈废材女王麻晓娇、嫁接育苗农业女神袁倾城穿越到了宋哲宗末期，为阻止靖康之耻发生，她们决定从源头解决问题，也就是换掉快要登基的宋徽宗，而我就是她们选中的新皇帝。可她们不知道，我也是穿越者。本书原名《我和五个大美妞穿越到北宋》，又名：《高端的猎人往往以猎物的方式出现》、《我在五个跟我一块穿越的大美妞面前装土著》。 ,2025-03-10 00:41
北宋穿越指南,王梓钧, 如果穿越回宋代，是该吟诗作赋、风花雪月？还是厉兵秣马、争霸天下？不论如何，先填饱肚子再说。 ,2025-01-25 22:51
仙不是这么修的,凤嘲凰, 姓向的满天下抓魔头的时候，我没站出来，因为我不修魔功；姓向的满天下抓妖怪的时候，我没站出来，因为我不是妖怪；姓向的满天下抓剑修的时候，没人站出来为我们说话，因为他们不是剑修；姓向的满……他不抓人了，天下太平了。——《XX狱中随笔》 ,2025-03-09 09:00
LOL：重生S3，调教全联盟,青石离, 一不小心重回S3，打职业捞个英雄皮肤，创个俱乐部搞搞电竞豪门。没有系统没关系，电竞的野蛮时代，处处是机会。不信？看我卖他十万个肉松饼先！ ,2025-03-10 00:02
怪物来了,一刀斩斩斩, 万众期待下，研发十年的虚拟现实游戏《黑暗之地》上线，但高昂的售价让无数等待已久的玩家心生退却。同一时间，一款不知名的游戏借着《黑暗之地》的名头开始疯狂拉新。祁胜：我这里有《黑暗之地》的破解版下载链接，免费，保真！ ,2025-03-09 23:59
人在战锤，求你别赞美哆啦万机神,犹格在码字, 多年以后，面对火星上立起的哆啦A梦巨像，全宇宙最尊重安格隆的人、帝皇的虔诚信徒（大概）、哆啦考尔异父异母的亲兄弟、巢都下层区最富盛名的垃圾佬、阿巴顿一生挥之不去的阴影、亚空间通往现实宇宙的出口之一、恶魔垃圾桶、“我要见真正的巴尔之主！”、瓦半仙神选（也许）、大天使酱修复员、周.这是俺拾嘞.云，准会想起在冥府星系，圣吉列斯给自己托梦的那个遥远的下午。“所以，帝皇爷，这踏马真不能怪我啊！” ,2025-03-09 21:21
不许没收我的人籍,可怜的夕夕, “她本来就是恶魔，怎么可能是遇到我这个人类之后才被带坏的？那些批评家总在说一些很荒唐的东西。”1798年，枢机主教兰奇在接受记者采访时，被问起与那位流亡的魔族末裔公主的过往，以及近期魔族复苏的迹象，他表示：“我为捍卫世界和平做出了太多努力，我很确信，魔族在她的带领下绝无复国可能。”……1802年冬天，魔族复国成功。【请根据以上材料，指出导致魔族复国的主要战犯是谁，并说明为什么是兰奇。（10分）】——选自《帝国历史统考经典考题集》 ,2024-11-11 18:36
我师兄实在太稳健了,言归正传, 重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】 ,2022-11-25 16:18
我！清理员！,鱼狱圄, “拿好，这是你这周的薪水。”抬手递了个小袋子过来后，桌后面翘着二郎腿的女人随手在小本子上勾了一下，随即头也不抬地挥手撵人道：“记得自己去报一下税……下一个！”“等等！”把小袋子里的钱币倒出来后，看着掌心八枚大的一枚小的，总共九枚脏兮兮的硬币，李昂不由得震惊地瞪大了双眼，恨不能当场扑过去和她决一死战。“该死的！我这周二才刚击退了妄图侵蚀世界的邪神！你个混蛋居然连救世主的工资也要扣？” ,2025-03-09 23:21
制皮百年，我成了魔门巨头,是桃花酥呀, 重生正邪相争的仙魔世界，宋延被劫入魔门傀儡宗，因天赋问题，被分配成了制皮杂役。傀儡之道，博大精深，皮影傀儡，纸人傀儡，血尸傀儡。宋延需得按照正式弟子要求，制作出合适的皮影人、皮影兽甚至是皮影建筑。在制皮时，系统意外觉醒，只要他制皮就能提升寿元，悟性。时光荏苒，再回首，宋延已成魔宗巨头，见万年时光，睹天下更替。 ,2025-03-09 17:00
天倾之后,佛前献花, 我们的世界被污染了。超凡生物的出现，鬼怪的传说，修行与进化，奇物与术的碰撞，跨界的大门被打开，有人争渡，有人逃离......这一切的开端都在天倾之后。 ,2025-03-10 00:10
重生：开局逮到高冷校花超市偷窃,陆远秋, 重生校园时代，陆远秋照看自家开的超市，却在监控下发现一位容貌清丽的少女正在偷拿货架上的商品。拍摄证据后，陆远秋将其带到仓库内。“拿了多少？”少女背靠墙壁，沉默寡言：“没有了，就这些。”陆远秋认识她。少女名叫白清夏，跟他一个学校。高冷，生人勿近，冷面校花，通通是她的代名词。只是别人眼中那不可亵渎的白月光，今天竟以这种方式被自己逼到了墙角里。陆远秋默默告诉自己，今天无论如何也不能放她走。前一世，白清夏在超市里做了同样的事情，但陆远秋顾及对方面子，选择了视而不见。结果白清夏出门后就遭遇了一场车祸。这件事成了陆远秋心中的钉子，倘若那天，他狠心拦下白清夏，后面的惨剧就不会发生。所以这次，他要拖延时间，要对校花进行严厉的批评教育！看着角落里屈辱到眼眶发红的校花，陆远秋继续质问：“你确定就这些？”“校服里面鼓鼓囊囊的，是不是还藏着东西？！” ,2025-03-10 00:26
西游：开局拜师菩提祖师,阿牛要吃菜, 文王拉车八百步，定周朝八百年江山。姜缘于西周之时，大梦一场，恍若隔世，惊觉花非花，雾非雾，我非我。姜缘四岁之时决心寻道，求个长生，他见双亲俱在，将心暗藏，只道侍奉双亲一世，方寻仙问道。十六之时，双亲逝世，他毅然决然的遣散下人，一把火烧掉故居，周游寻道。十九之时，他寻得道人，苦心拜师，不得入门。二十九时，他成功拜入道人门下。“敢问师父法名？”“菩提！”这竟是西游！我师父竟是菩提祖师！ ,2025-03-09 23:52
鸣龙,关关公子, “事情是这样的，我当初身陷绝境，意外遇见了一条龙，它非说我是习武奇才，要给我指条通仙大道……”“这就是你挖开魔神陵，给妖魔当奴仆的理由？！”“我谢尽欢从不屈居人下，它才是奴仆，准确来说，我是被一条龙服务过……”……已有完本万订《世子很凶》《仙子很凶》《女侠且慢》，感兴趣的朋友可以先看老书~ ,03-10 07:58
重生日常修仙,庭院阳光好, 元婴真君渡劫失败，重回学生时代。2013年，移动互联网刚刚兴起，滚滚时代洪流下，一个修仙者的日常。——————————【日常】【学生】【恋爱】【互联网】【现代版修炼】【赚钱】【智商在线】 ,2025-03-09 23:57
