排名,歌手,歌曲,时长
153,郭静,心墙,3:47
154,单依纯,不值得 (Live),4:05
155,TAEYANG (太阳),"눈,코,입 (EYES,NOSE,LIPS)",3:50
156,后弦,下完这场雨,4:31
157,薛之谦,演员,4:21
158,洋澜一,天际,5:46
159,陈奕迅,十年,3:25
160,大壮,差一步,4:05
161,海来阿木,不如见一面,4:07
162,魏佳艺,搀扶,5:25
163,刘阳阳,人间半途,3:50
164,林俊杰,江南,4:27
165,文夫,望故乡,4:03
166,海来阿木,阿果吉曲,3:45
167,胡彦斌,你要的全拿走,4:59
168,柯柯柯啊,姑娘别哭泣,3:55
169,梁静茹,会呼吸的痛,4:33
170,G.E.M. 邓紫棋,句号,3:55
171,宋亚轩,spr.,3:13
172,张紫豪,可不可以,4:00
173,卢润泽,一路往南走 (种完麦子我就往南走),3:38
174,曲婉婷,最好的安排,4:10
175,周杰伦,稻香,3:43
176,Steve Void、Dance Fruits Music,Toosie Slide (Sped Up|Expl...,2:27
177,en,烟火里的尘埃,5:05
178,豆包,追求,2:45
179,刘珂矣,半壶纱,3:42
180,吉星出租,转身即心痛,3:07
181,葛林,林中鸟,3:51
182,就是南方凯,离别开出花 (弹唱版),2:52
183,EXO,"Baby, Don't Cry (인어의 눈물) (人鱼的眼泪)",3:55
184,徐良、小凌,坏女孩,4:06
185,一棵小葱、张曦匀,壁上观,4:44
186,陈子晴,偏向,3:06
187,梁博,出现又离开 (Live),6:44
188,草蜢,半点心,3:52
189,周杰伦,退后,4:21
190,锤娜丽莎,我太笨,4:24
191,无名姐（路宝）,雨中的悲情 (女版),4:21
192,赵雷,我记得,5:29
193,徐誉滕,等一分钟,3:56
194,李润祺,茫,3:47
195,周杰伦,说好的幸福呢,4:16
196,窝窝,远山少年,3:17
197,王力宏,火力全开,4:28
198,许巍,曾经的你,4:21
199,田园,走不出回忆的牢,3:05
200,周传雄,黄昏,5:43
201,GooGoo,不要慌太阳下山有月光,3:14
202,G.E.M. 邓紫棋,泡沫,4:18
203,黄诗扶,九万字,3:52
204,青鸟飞鱼,此生不换,4:25
205,陈楚生、胡莎莎,招摇,4:35
206,陈柏宇,你瞒我瞒,3:57
207,七朵组合,咏春,4:31
208,h3R3、张鑫,先说谎的人,2:48
209,韩小欠,你看时间等过谁,3:26
210,马健涛,天也不懂情,2:35
211,hanser,室内系的TrackMaker,3:22
212,刀郎,西海情歌,5:43
213,阿桑,一直很安静,4:10
214,林俊杰,可惜没如果,4:58
215,Olly Murs,That Girl,2:56
216,BEYOND,光辉岁月,5:03
217,Dermot Kennedy、MEDUZA,Paradise,2:47
218,5 Seconds of Summer,Teeth,3:24
219,周杰伦,爱你没差,4:40
220,买辣椒也用券,起风了,5:25
221,周杰伦,花海,4:24
222,林俊杰,不潮不用花钱,3:53
223,宇西,安和桥,4:08
224,Taylor Swift,Love Story,3:56
225,G.E.M. 邓紫棋,喜欢你,3:59
226,庄心妍,有爱就不怕,4:33
227,邵帅,暖一杯茶,4:03
228,萧萧,爱要坦荡荡,3:58
229,毛不易,一程山路,3:35
230,街道办GDC、欧阳耀莹,春娇与志明,3:25
231,陶喆,天天,4:15
232,泡芙芙Scarlett,芦苇飞,2:55
233,隔壁老樊,我曾,4:46
234,F.I.R.飞儿乐团、彭佳慧,心之火,4:56
235,海来阿木,西楼儿女,4:17
236,陈奕迅,爱情转移,4:20
237,小咪,我走后,4:08
238,王力宏,天地龙鳞,3:16
239,冷风,爱得太真,3:31
240,王娜,无爱情歌,3:19
241,赵十三,晚秋 (粤语女声版),2:40
242,颜人中,我只能离开 (Live),4:06
243,华晨宇、宿涵,烟火里的尘埃 (Live),3:18
244,葛东琪,悬溺,3:17
245,王睿卓,重生之我在异乡为异客 (纯享版),2:38
246,G.E.M. 邓紫棋,再见,3:26
247,梁博,曾经是情侣 (Live),6:43
248,林俊杰,美人鱼,4:14
249,周杰伦、张惠妹,不该 (with aMEI),4:51
250,张叶蕾,还是分开,3:49
251,王娜,玫瑰也曾温柔过,2:40
252,橘子妹,我是真的爱上你,3:52
253,周杰伦,夜曲,3:46
254,周林枫,阿嬷 (爱国版),3:08
255,南拳妈妈,下雨天,4:13
256,盛哲,在你的身边,4:22
257,于冬然,听说你,3:59
258,付豪,他真的对你好吗,4:17
259,陶喆,就是爱你,4:23
260,许嵩、何曼婷,素颜,3:58
261,张杰,他不懂,3:51
262,陈奕迅,淘汰,4:45
263,陶喆,普通朋友,4:15
264,刀郎,喀什噶尔胡杨,6:15
265,T,ara,3:29
266,凤凰传奇,奢香夫人,4:19
267,关心,怕了敷衍怕了承诺,3:12
268,Cafuné,Tek It (Sped Up),2:46
269,周杰伦,蒲公英的约定,4:07
270,谭咏麟,讲不出再见,4:54
271,林俊杰,背对背拥抱,3:54
272,大双二双,给所有知道我名字的人,3:46
273,周杰伦,一路向北,4:55
274,汪苏泷,我想念,3:44
275,蔡健雅,Letting Go,4:23
276,刘若英,当爱在靠近,4:10
277,鱼蛋,三月里的小雨 (粤语版),4:25
278,陈绮贞,太聪明,4:22
279,阿YueYue、刘兆宇,冬眠·2023,3:11
280,周宇,拿得起你也放得下你,3:24
281,DAISHI DANCE、Cécile Corbel,Take Me Hand,4:20
282,屠洪刚,你,3:47
283,朴树,平凡之路,5:01
284,听风雪,My Love (Bae代表比任何人都优先),3:04
285,Cristian Marchi、Reverend Haus,Fast Cars & Superstars,2:53
286,马健涛、魏佳艺,搀扶 (对唱版),5:25
287,张德伊玲,只若初见,3:24
288,周杰伦,七里香,4:59
289,陈粒,虚拟,4:00
290,颜人中,夏夜最后的烟火,4:39
291,半吨兄弟,烟火里的尘埃,5:11
292,方大同,听,4:41
293,陈慧娴,千千阕歌,5:01
294,胡歌,指纹,3:58
295,蒋雪儿,落了白,3:00
296,宝石Gem,那个女孩,5:04
297,曲婉婷,Jar Of Love (Album Version),3:50
298,周杰伦,兰亭序,4:13
299,隔壁老樊,多想在平庸的生活拥抱你,4:29
300,G.E.M. 邓紫棋,桃花诺,3:39
301,张艺迈,可惜我两手空空,3:53
302,金钰双双,伤情2025 (女版),3:28
303,王蓝茵,恶作剧,3:46
304,徐佳莹,一样的月光,4:00
305,Michael Calfan、INNA,Call Me Now,2:26
306,赵雷,成都,5:28
307,王心凌,第一次爱的人,3:53
308,于果,侧脸,3:37
309,许嵩,幻听,4:33
310,家家,命运,3:50
311,徐俊雅,爱你,3:26
312,TimeZ,彩虹 (在夕阳下最后的拥抱),3:59
313,彭佳慧,相见恨晚,4:14
314,浩然H.R,年少的你啊,3:00
315,南征北战NZBZ,原来,3:53
316,薛之谦,其实,4:02
317,孙燕姿,遇见,3:30
318,JuggShots,沦陷 (官方版1.3x),2:22
319,BEYOND,真的爱你,4:35
320,林俊杰,不死之身,3:47
321,张碧晨,梦幻诛仙,4:04
322,周杰伦,最长的电影,3:55
323,蓝又时,孤单心事,4:28
324,蒋雪儿,莫问归期,3:39
325,卢卢快闭嘴,会呼吸的痛 (深情版),3:53
326,许巍,蓝莲花,4:30
327,周杰伦,枫,4:35
328,梨笑笑,新生的枝桠,3:00
329,周杰伦,告白气球,3:35
330,程响,可能,3:38
