城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,阿里巴巴集团, 2000人以上 ,本科,数据分析师,15k-30k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,鲸灵数据, 50-150人 ,本科,数据分析师,18k-30k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,邦睿科技, 150-500人 ,本科,数据分析师,15k-30k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,蒙格斯, 15-50人 ,硕士,数据分析师,20k-30k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,中天粤会计事务所四川分所, 15-50人 ,本科,数据分析师,3k-5k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,字节跳动, 2000人以上 ,本科,数据分析师-国际支付,22k-44k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,字节跳动, 2000人以上 ,本科,高级数据分析师/数据科学家-开发者服务业务,25k-50k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,胜凯科科技, 50-150人 ,大专,数据分析,15k-30k·13薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,马上消费, 2000人以上 ,硕士,高级风控数据决策分析师/自营业务,20k-35k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,, 150-500人 ,本科,数据分析,10k-15k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,, 15-50人 ,本科,数据分析,15k-25k·15薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,, 500-2000人 ,本科,数据运营分析师,20k-30k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,京东科技, 2000人以上 ,不限,数据分析经理-J5119Y,20k-40k·16薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,众合教育, 500-2000人 ,本科,数据分析经理,25k-35k·13薪,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,ckncloud, 15-50人 ,本科,大数据分析工程师,15k-25k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,数据分析Leader-【海外DA】,30k-60k·16薪,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,大数据分析引擎架构研发工程师/专家（杭州）,25k-50k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
广州,迪奥科技, 15-50人 ,本科,数据分析实习生（市场运营方向）,2k-3k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,易车公司, 2000人以上 ,硕士,数据分析专家/负责人(J13004),30k-50k·16薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,嘉银科技, 500-2000人 ,本科,数据分析（电销管理）,18k-30k·15薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,广告数据分析实习生-【商业化】,3k-4k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,交银数据, 500-2000人 ,本科,数据分析经理,18k-28k,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,交银数据, 500-2000人 ,本科,数据分析工程师,10k-20k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,琥珀创想, 50-150人 ,本科,商业数据分析 (MJ000233),30k-60k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
东莞,行一, 50-150人 ,本科,数据分析员,5k-6k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,乐信, 2000人以上 ,本科,数据分析（贷后） (MJ001495),18k-35k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,开思时代, 500-2000人 ,不限,数据分析实习生(J10390),3k-4k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,深圳脉山龙, 150-500人 ,本科,数据分析工程师,14k-20k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,新希望集团, 2000人以上 ,本科,数据分析岗,8k-12k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,东方国信, 2000人以上 ,本科,初级数据分析治理（实习或应届）,4k-8k,1年以下
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,拓保软件, 2000人以上 ,本科,数据分析（急招）,9k-15k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,八爪鱼, 150-500人 ,本科,售前咨询顾问（数据分析） (MJ000123),13k-25k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,拉卡拉, 500-2000人 ,本科,数据分析专员-北京,13k-20k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,拉卡拉, 500-2000人 ,本科,数据分析-业务运营方向,8k-12k·13薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,储田商务, 15-50人 ,本科,实习生 - SEO/SEM/数据分析方向,3k-6k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,预策科技, 50-150人 ,本科,数据分析师,20k-25k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,上海唯都, 500-2000人 ,本科,数据分析师,7k-9k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,天盛数通, 15-50人 ,本科,数据分析师,11k-19k·13薪,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,信永中和, 2000人以上 ,本科,数据分析师,8k-12k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,信永中和, 2000人以上 ,本科,数据分析师,15k-25k·13薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
佛山,美云智数, 500-2000人 ,本科,数据分析师,12k-18k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,微博, 2000人以上 ,本科,数据分析师,20k-40k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,问点事, 15-50人 ,不限,数据分析师,6k-10k·13薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,久谦科技, 150-500人 ,本科,数据分析师,15k-30k·14薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
广州,徕伊佐慕, 50-150人 ,本科,数据分析师,12k-23k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,阿里巴巴集团, 2000人以上 ,本科,数据分析师,15k-30k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,鲸灵数据, 50-150人 ,本科,数据分析师,18k-30k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,邦睿科技, 150-500人 ,本科,数据分析师,15k-30k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,蒙格斯, 15-50人 ,硕士,数据分析师,20k-30k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,中天粤会计事务所四川分所, 15-50人 ,本科,数据分析师,3k-5k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,字节跳动, 2000人以上 ,本科,数据分析师-国际支付,22k-44k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,字节跳动, 2000人以上 ,本科,高级数据分析师/数据科学家-开发者服务业务,25k-50k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,胜凯科科技, 50-150人 ,大专,数据分析,15k-30k·13薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,马上消费, 2000人以上 ,硕士,高级风控数据决策分析师/自营业务,20k-35k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,, 150-500人 ,本科,数据分析,10k-15k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,, 15-50人 ,本科,数据分析,15k-25k·15薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,, 500-2000人 ,本科,数据运营分析师,20k-30k·14薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,京东科技, 2000人以上 ,不限,数据分析经理-J5119Y,20k-40k·16薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,众合教育, 500-2000人 ,本科,数据分析经理,25k-35k·13薪,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,ckncloud, 15-50人 ,本科,大数据分析工程师,15k-25k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,数据分析Leader-【海外DA】,30k-60k·16薪,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,大数据分析引擎架构研发工程师/专家（杭州）,25k-50k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
广州,迪奥科技, 15-50人 ,本科,数据分析实习生（市场运营方向）,2k-3k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,易车公司, 2000人以上 ,硕士,数据分析专家/负责人(J13004),30k-50k·16薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,嘉银科技, 500-2000人 ,本科,数据分析（电销管理）,18k-30k·15薪,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,快手, 2000人以上 ,本科,广告数据分析实习生-【商业化】,3k-4k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,交银数据, 500-2000人 ,本科,数据分析经理,18k-28k,5-10年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,交银数据, 500-2000人 ,本科,数据分析工程师,10k-20k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,琥珀创想, 50-150人 ,本科,商业数据分析 (MJ000233),30k-60k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
东莞,行一, 50-150人 ,本科,数据分析员,5k-6k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,乐信, 2000人以上 ,本科,数据分析（贷后） (MJ001495),18k-35k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,开思时代, 500-2000人 ,不限,数据分析实习生(J10390),3k-4k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,深圳脉山龙, 150-500人 ,本科,数据分析工程师,14k-20k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,新希望集团, 2000人以上 ,本科,数据分析岗,8k-12k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,东方国信, 2000人以上 ,本科,初级数据分析治理（实习或应届）,4k-8k,1年以下
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,拓保软件, 2000人以上 ,本科,数据分析（急招）,9k-15k,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,八爪鱼, 150-500人 ,本科,售前咨询顾问（数据分析） (MJ000123),13k-25k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,拉卡拉, 500-2000人 ,本科,数据分析专员-北京,13k-20k,3-5年
