岗位,薪资,岗位要求,工作地址
高级数据分析师,50k-60k,"11、为业务用户构建视觉友好的仪表板和智能警报，以帮助他们轻松清晰地理解数字性能

应聘资格
1、本科及以上学历，3年数字/在线分析经验，有很好的英文能力，985/211/留学经验优先
2、对直销原则有透彻的了解
3、专业的数字分析工具，例如Adobe Analytics，Google Analytics（分析），Tableau；具备SQL，SAS / R / SPSS知识者优先。
4、熟练创建仪表盘，自定义报告，细分和计算指标
5、能够在快节奏的环境中工作，执行多任务并以完美的业务重点相应地确定优先级
6、具有在快速节奏的环境中工作的强大能力的自启动器
7、自信而强大的演讲技巧
8、较强的分析能力，批判性思维和主动解决问题的能力
9、能够以清晰，有效和动态的方式呈现分析报告
10、对SEO，SEM有深入的了解
11、了解A / B和多变量测试者优先
12、了解Web编码，网站基础架构

Senior Digital Analyst
Core Responsibilities
- Integrate quantitative and qualitative insights to build data narratives that elucidate opportunities to align user goals and business goals in the digital experience
- Investigate digital user journey and attribution in omni-channels, e.g. Online Advertisement, Organic / Paid Search, Affiliates, etc.
- Work closely across the media planning and brand strategy teams to set up KPI matrix and evaluate media performance
- Research participation and contribution for each paid vehicle
- Generate data-driven insights and optimization opportunities that lead to significant revenue growth & cost savings for the business
- Interpret complex data into strategic and actionable recommendations to media planning to consecutively drive leads and demands, as well as online orders on dell.com
- Find the pain-points, fall-through and fall-out on online purchasing journey
- Give proposals to online user journey optimization for better conversion rate
- Provide in-time ad-hoc deep-dive and analysis
- Work with development teams to ensure digital data tagging and collection is an integral part of all projects to meet business tracking, tagging and analyzing requests
- Build visual-friendly dashboards and intelligent alerts for business users to help them easily and clearly understand digital performance

Qualifications
- 3 years experience in digital/online analytics
- A thorough understanding of direct marketing principles
- Professional in digital analytics tools, e.g., Adobe Analytics, Google Analytics, Tableau; knowledge with SQL, SAS/R/SPSS is a plus.
- Proficient in creating dashboards, custom reports, segments and calculated metrics
- Ability to work in a fast-paced environment, multi-task and prioritize accordingly with flawless business focus
- Self-starter with a strong ability to work in a fast-paced environment
- Confident and strong presentation skills
- Strong analytical ability, critical thinking and proactive problem-solving skills
- Be able to present analytics reports in a clear, effective and dynamic manner
- A firm understanding of SEO, SEM
- Understanding of A/B and Multi-variates test is a plus
- Understanding of Web Coding, Website Infrastructure",  北京 - 东城区 - 朝阳门 - 南竹杆胡同2号银河SOHO D座10层51006室                 
高级数据分析师,15k-25k,"
1、 3年及以上游戏或互联网数据分析等相关经验；
2、本科以上学历，统计学、数学、计算机等相关专业；
3、热爱游戏行业，对游戏发行业务（市场投放/游戏运营）有一定的的理解，对数据驱动增长工作有兴趣和热情；
4、熟练掌握数据分析必备的技能与工具（如 SQL/Hive/R/Python/Excel/Tableau/MATLAB等），熟悉常用研究模型、算法，理解原理并具备成功项目经验；",  广州 - 天河区 - 林和东路285号天安人寿中心25楼                 
高级数据分析师,15k-20k,1、三年或以上互联网数据运营或数据分析从业经历，统计、数学、计算机专业等相关专业本科以上学历；2、具有扎实的统计学、数据分析、数据挖掘基础。熟练掌握SQL等相关数据提取工具技能，熟练掌握至少一种数据分析工具；3、有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目；4、熟悉游戏业务，精通游戏数据逻辑，理解游戏社交、生态游戏，善于把握虚拟世界交互和玩家心理；5、拥有数据建模经验者优先。,  广州 - 天河区 - 棠下 - 建中路50号佳都国际（原多玩游戏大楼）4楼                 
资深数据分析师,30k-40k,1、统计、运筹、应用数学相关专业本科及以上学历；2、五年以上运营数据分析工作经验，有互利网C端相关数据分析经验的优先；3、优秀的数据挖掘能力，能从数据中探索获取业务经验、为模型方案提供数据支持；4、精通SQL、Excel，掌握统计分析方法；5、具备R或python能力；6、有过数据治理或数据质量管理项目经验的优先；7、结果驱动，主动承担，使用快节奏迭代的工作风格。8.带过数据团队，有相关团队管理经验,  上海 - 浦东新区 - 张江 - 祖冲之路887号88号楼3楼                 
高级数据分析师,20k-40k,1.熟练使用SQL，有较丰富的hive sql性能调优经验优先 2.优秀的数据敏感性和业务理解能力，能够对数据现象进行假设与验证，发挥数据价值3.熟悉库表结构、ER图，可以对复杂业务逻辑快速抽象4.有Shell使用经验者优先5.良好的沟通、书面表达和汇报能力6.有支付领域经验,  北京 - 西城区 - 南礼士路 - 月坛南街1号院7号楼21层                 
高级数据分析师,15k-30k,"
1、好奇心强，求知欲强，有钻研探索精神，对数据分析有强烈兴趣者优先；
2、有过成功业务优化经验者优先；
3、有互联网公司数据分析经验、互联网数据建模分析经验者优先；
4、创新能力强，面对业务上各种新问题，能创造性的发明新的分析优化方案者优先；
5、性格严谨细致认真。""",  北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）                 
资深数据分析师,15k-20k,"
1. 本科及以上学历，5年以上工作经验，3年以上互联网行业数据分析师/数据运营经验，熟悉互联网常见业务分析方法论；
2. 具备较强的对企业环境、业务模式、业务流程的理解和洞察力
3. 具备SQL数据处理能力以及BI可视化报表制作能力，具备R语言及Python等相关建模经验优先；
4. 能够独立领导完整的数据分析项目，具备自我驱动以及快速学习新知识的能力",  成都 - 高新区 - 天府四街银泰城9号楼16层                 
高级数据分析师,50k-60k,"11、为业务用户构建视觉友好的仪表板和智能警报，以帮助他们轻松清晰地理解数字性能

应聘资格
1、本科及以上学历，3年数字/在线分析经验，有很好的英文能力，985/211/留学经验优先
2、对直销原则有透彻的了解
3、专业的数字分析工具，例如Adobe Analytics，Google Analytics（分析），Tableau；具备SQL，SAS / R / SPSS知识者优先。
4、熟练创建仪表盘，自定义报告，细分和计算指标
5、能够在快节奏的环境中工作，执行多任务并以完美的业务重点相应地确定优先级
6、具有在快速节奏的环境中工作的强大能力的自启动器
7、自信而强大的演讲技巧
8、较强的分析能力，批判性思维和主动解决问题的能力
9、能够以清晰，有效和动态的方式呈现分析报告
10、对SEO，SEM有深入的了解
11、了解A / B和多变量测试者优先
12、了解Web编码，网站基础架构

Senior Digital Analyst
Core Responsibilities
- Integrate quantitative and qualitative insights to build data narratives that elucidate opportunities to align user goals and business goals in the digital experience
- Investigate digital user journey and attribution in omni-channels, e.g. Online Advertisement, Organic / Paid Search, Affiliates, etc.
- Work closely across the media planning and brand strategy teams to set up KPI matrix and evaluate media performance
- Research participation and contribution for each paid vehicle
- Generate data-driven insights and optimization opportunities that lead to significant revenue growth & cost savings for the business
- Interpret complex data into strategic and actionable recommendations to media planning to consecutively drive leads and demands, as well as online orders on dell.com
- Find the pain-points, fall-through and fall-out on online purchasing journey
- Give proposals to online user journey optimization for better conversion rate
- Provide in-time ad-hoc deep-dive and analysis
- Work with development teams to ensure digital data tagging and collection is an integral part of all projects to meet business tracking, tagging and analyzing requests
- Build visual-friendly dashboards and intelligent alerts for business users to help them easily and clearly understand digital performance

Qualifications
- 3 years experience in digital/online analytics
- A thorough understanding of direct marketing principles
- Professional in digital analytics tools, e.g., Adobe Analytics, Google Analytics, Tableau; knowledge with SQL, SAS/R/SPSS is a plus.
- Proficient in creating dashboards, custom reports, segments and calculated metrics
- Ability to work in a fast-paced environment, multi-task and prioritize accordingly with flawless business focus
- Self-starter with a strong ability to work in a fast-paced environment
- Confident and strong presentation skills
- Strong analytical ability, critical thinking and proactive problem-solving skills
- Be able to present analytics reports in a clear, effective and dynamic manner
- A firm understanding of SEO, SEM
- Understanding of A/B and Multi-variates test is a plus
- Understanding of Web Coding, Website Infrastructure",  北京 - 东城区 - 朝阳门 - 南竹杆胡同2号银河SOHO D座10层51006室                 
高级数据分析师,18k-30k,"
1、本科及以上学历，3年以上分析相关工作经验；
2、具备大数据的处理能力，掌握hive、hadoop、SQL等相关数据提取工具，熟练操作Python、R、SAS等数据分析工具；
3、良好的数据敏感度，具备较强的分析总结能力，具备良好的数据呈现能力；
4、具备良好的沟通能力和团队精神，有独立分析项目工作经验；
5、有互联网风控领域经验优先。",  杭州 - 拱墅区 - 城西银泰E座9楼                 
高级数据分析师,15k-25k,1、本科以上学历，统计学、数学、计算机、信息管理、通信等相关专业2、3年以上工作经验，了解游戏业务数据分析挖掘需求，有在游戏公司数据运营部门工作经验优先考虑3、熟练使用SQL，Python等数据分析基本语言4、熟悉Tableau、Superset、Grafana等主流数据分析和图表工具5、有良好的逻辑思维能力、学习能力、表达能力及团队合作能力；能够适应较强节奏与压力的工作。,  北京 - 朝阳区 - 立水桥 - 北苑路北辰泰岳大厦                 
