城市,周期,AQI均值
唐山市,周期1(9-15日),82.71 
唐山市,周期2(16-22日),71.43 
商丘市,周期1(9-15日),117.71 
商丘市,周期2(16-22日),77.43 
商洛市,周期1(9-15日),135.29 
商洛市,周期2(16-22日),96.86 
喀什地区,周期1(9-15日),240.14 
喀什地区,周期2(16-22日),216.57 
嘉兴市,周期1(9-15日),107.86 
嘉兴市,周期2(16-22日),85.71 
嘉峪关市,周期1(9-15日),74.14 
嘉峪关市,周期2(16-22日),84.00 
四平市,周期1(9-15日),62.71 
四平市,周期2(16-22日),63.00 
固原市,周期1(9-15日),200.00 
固原市,周期2(16-22日),132.57 
塔城地区,周期1(9-15日),56.86 
塔城地区,周期2(16-22日),48.14 
大兴安岭地区,周期1(9-15日),43.86 
大兴安岭地区,周期2(16-22日),43.71 
大同市,周期1(9-15日),68.00 
大同市,周期2(16-22日),87.57 
大庆市,周期1(9-15日),72.00 
大庆市,周期2(16-22日),48.71 
大理白族自治州,周期1(9-15日),60.29 
大理白族自治州,周期2(16-22日),63.14 
大连市,周期1(9-15日),48.43 
大连市,周期2(16-22日),60.71 
天水市,周期1(9-15日),164.86 
天水市,周期2(16-22日),106.71 
天津市,周期1(9-15日),82.14 
天津市,周期2(16-22日),75.14 
太原市,周期1(9-15日),92.86 
太原市,周期2(16-22日),99.43 
威海市,周期1(9-15日),63.14 
威海市,周期2(16-22日),67.29 
娄底市,周期1(9-15日),140.00 
娄底市,周期2(16-22日),61.57 
孝感市,周期1(9-15日),127.43 
孝感市,周期2(16-22日),88.14 
宁德市,周期1(9-15日),80.29 
宁德市,周期2(16-22日),73.57 
宁波市,周期1(9-15日),99.86 
宁波市,周期2(16-22日),70.29 
安庆市,周期1(9-15日),103.14 
安庆市,周期2(16-22日),77.00 
安康市,周期1(9-15日),135.00 
安康市,周期2(16-22日),82.14 
安阳市,周期1(9-15日),120.57 
安阳市,周期2(16-22日),100.29 
安顺市,周期1(9-15日),96.14 
安顺市,周期2(16-22日),76.00 
定西市,周期1(9-15日),182.43 
定西市,周期2(16-22日),154.14 
宜宾市,周期1(9-15日),125.29 
宜宾市,周期2(16-22日),90.71 
宜昌市,周期1(9-15日),126.57 
宜昌市,周期2(16-22日),80.14 
宜春市,周期1(9-15日),107.57 
宜春市,周期2(16-22日),53.57 
宝鸡市,周期1(9-15日),178.57 
宝鸡市,周期2(16-22日),116.29 
宣城市,周期1(9-15日),103.43 
宣城市,周期2(16-22日),82.14 
宿州市,周期1(9-15日),103.43 
宿州市,周期2(16-22日),86.29 
宿迁市,周期1(9-15日),87.29 
宿迁市,周期2(16-22日),83.14 
山南市,周期1(9-15日),79.29 
山南市,周期2(16-22日),72.86 
岳阳市,周期1(9-15日),102.43 
岳阳市,周期2(16-22日),70.57 
崇左市,周期1(9-15日),91.43 
崇左市,周期2(16-22日),76.29 
巴中市,周期1(9-15日),157.71 
巴中市,周期2(16-22日),81.86 
巴彦淖尔市,周期1(9-15日),99.57 
巴彦淖尔市,周期2(16-22日),151.00 
巴音郭楞蒙古自治州,周期1(9-15日),131.14 
巴音郭楞蒙古自治州,周期2(16-22日),297.57 
常州市,周期1(9-15日),103.57 
常州市,周期2(16-22日),98.86 
常德市,周期1(9-15日),147.00 
常德市,周期2(16-22日),74.71 
平凉市,周期1(9-15日),201.57 
平凉市,周期2(16-22日),129.57 
平顶山市,周期1(9-15日),150.29 
平顶山市,周期2(16-22日),88.43 
广元市,周期1(9-15日),148.71 
广元市,周期2(16-22日),89.14 
广安市,周期1(9-15日),190.86 
广安市,周期2(16-22日),80.00 
广州市,周期1(9-15日),115.14 
广州市,周期2(16-22日),62.00 
庆阳市,周期1(9-15日),158.86 
庆阳市,周期2(16-22日),108.29 
廊坊市,周期1(9-15日),84.29 
廊坊市,周期2(16-22日),77.14 
延安市,周期1(9-15日),159.29 
延安市,周期2(16-22日),113.14 
延边朝鲜族自治州,周期1(9-15日),58.71 
延边朝鲜族自治州,周期2(16-22日),51.57 
开封市,周期1(9-15日),137.14 
开封市,周期2(16-22日),92.71 
张家口市,周期1(9-15日),60.00 
张家口市,周期2(16-22日),68.14 
张家界市,周期1(9-15日),98.71 
