日期,城市,空气指标,PM25
11日,长治市,88,45
12日,长治市,170,53
13日,长治市,65,17
14日,长治市,60,10
15日,长治市,74,19
16日,长治市,111,64
09日,长治市,61,34
09日,晋城市,83,43
17日,晋城市,129,73
18日,晋城市,102,53
19日,晋城市,90,45
20日,晋城市,109,30
21日,晋城市,81,25
22日,晋城市,92,33
10日,晋城市,80,22
11日,晋城市,105,43
12日,晋城市,363,86
13日,晋城市,98,32
14日,晋城市,59,10
15日,晋城市,85,13
16日,晋城市,118,65
09日,朔州市,62,33
17日,朔州市,186,77
18日,朔州市,39,21
19日,朔州市,66,29
20日,朔州市,95,46
21日,朔州市,63,27
22日,朔州市,57,16
10日,朔州市,51,18
11日,朔州市,198,50
12日,朔州市,65,10
13日,朔州市,43,8
14日,朔州市,51,9
15日,朔州市,64,17
16日,朔州市,166,68
10日,晋中市,72,20
11日,晋中市,405,66
12日,晋中市,117,22
13日,晋中市,59,12
14日,晋中市,55,7
15日,晋中市,86,15
16日,晋中市,145,54
17日,晋中市,180,86
18日,晋中市,88,37
19日,晋中市,77,42
20日,晋中市,98,42
21日,晋中市,74,42
22日,晋中市,64,17
09日,晋中市,67,28
09日,运城市,98,44
17日,运城市,131,61
18日,运城市,104,42
19日,运城市,82,43
20日,运城市,105,33
21日,运城市,69,36
22日,运城市,161,69
10日,运城市,78,25
11日,运城市,226,61
12日,运城市,485,95
13日,运城市,153,45
14日,运城市,70,18
15日,运城市,84,31
16日,运城市,101,54
09日,忻州市,63,45
10日,忻州市,60,28
11日,忻州市,194,60
12日,忻州市,70,17
13日,忻州市,53,13
14日,忻州市,53,12
15日,忻州市,73,21
16日,忻州市,153,61
17日,忻州市,175,86
18日,忻州市,61,35
19日,忻州市,67,48
20日,忻州市,88,60
21日,忻州市,67,45
22日,忻州市,58,16
17日,临汾市,138,70
18日,临汾市,116,54
19日,临汾市,90,52
20日,临汾市,98,33
21日,临汾市,109,49
22日,临汾市,170,68
10日,临汾市,70,20
11日,临汾市,273,64
12日,临汾市,197,43
13日,临汾市,114,25
14日,临汾市,55,12
15日,临汾市,75,22
16日,临汾市,118,58
09日,临汾市,73,35
17日,吕梁市,171,83
18日,吕梁市,100,55
19日,吕梁市,68,37
20日,吕梁市,90,32
21日,吕梁市,105,50
22日,吕梁市,87,32
09日,吕梁市,63,22
10日,吕梁市,60,17
11日,吕梁市,360,83
12日,吕梁市,122,37
13日,吕梁市,78,21
14日,吕梁市,50,13
15日,吕梁市,60,17
16日,吕梁市,121,50
17日,呼和浩特市,55,19
18日,呼和浩特市,39,17
19日,呼和浩特市,62,29
20日,呼和浩特市,79,32
21日,呼和浩特市,50,19
22日,呼和浩特市,63,23
09日,呼和浩特市,52,34
10日,呼和浩特市,56,21
11日,呼和浩特市,126,30
12日,呼和浩特市,43,5
13日,呼和浩特市,44,6
14日,呼和浩特市,50,9
15日,呼和浩特市,77,33
16日,呼和浩特市,135,66
17日,包头市,51,20
18日,包头市,44,28
19日,包头市,62,27
20日,包头市,72,35
21日,包头市,63,20
22日,包头市,73,33
10日,包头市,61,22
11日,包头市,240,59
12日,包头市,63,14
13日,包头市,55,12
14日,包头市,54,11
15日,包头市,65,26
16日,包头市,153,78
09日,包头市,50,19
17日,乌海市,87,36
18日,乌海市,63,20
19日,乌海市,82,28
20日,乌海市,112,44
21日,乌海市,468,155
22日,乌海市,62,23
10日,乌海市,94,37
11日,乌海市,500,153
12日,乌海市,70,20
13日,乌海市,65,20
14日,乌海市,55,12
15日,乌海市,123,55
16日,乌海市,263,103
09日,乌海市,50,14
10日,赤峰市,52,22
11日,赤峰市,69,32
12日,赤峰市,60,9
17日,赤峰市,52,35
18日,赤峰市,44,11
19日,赤峰市,50,13
20日,赤峰市,65,20
21日,赤峰市,68,30
22日,赤峰市,48,9
09日,赤峰市,54,25
13日,赤峰市,42,6
14日,赤峰市,59,16
15日,赤峰市,53,24
16日,赤峰市,76,42
17日,通辽市,77,56
18日,通辽市,45,22
19日,通辽市,49,23
20日,通辽市,75,36
21日,通辽市,52,35
22日,通辽市,51,20
09日,通辽市,68,43
10日,通辽市,69,39
11日,通辽市,106,61
12日,通辽市,36,24
13日,通辽市,41,23
14日,通辽市,42,25
15日,通辽市,54,38
16日,通辽市,65,45
17日,鄂尔多斯市,114,57
18日,鄂尔多斯市,54,15
19日,鄂尔多斯市,69,21
20日,鄂尔多斯市,90,34
09日,鄂尔多斯市,80,29
10日,鄂尔多斯市,67,20
11日,鄂尔多斯市,449,85
12日,鄂尔多斯市,84,19
13日,鄂尔多斯市,72,16
14日,鄂尔多斯市,52,10
15日,鄂尔多斯市,81,28
16日,鄂尔多斯市,448,134
21日,鄂尔多斯市,100,39
22日,鄂尔多斯市,75,28
09日,呼伦贝尔市,58,41
17日,呼伦贝尔市,44,24
18日,呼伦贝尔市,41,16
19日,呼伦贝尔市,46,16
20日,呼伦贝尔市,50,16
21日,呼伦贝尔市,46,18
22日,呼伦贝尔市,45,11
10日,呼伦贝尔市,50,24
11日,呼伦贝尔市,66,18
12日,呼伦贝尔市,42,18
13日,呼伦贝尔市,42,18
14日,呼伦贝尔市,49,28
15日,呼伦贝尔市,54,38
16日,呼伦贝尔市,54,22
09日,巴彦淖尔市,50,20
10日,巴彦淖尔市,74,30
11日,巴彦淖尔市,310,73
12日,巴彦淖尔市,45,17
13日,巴彦淖尔市,58,20
14日,巴彦淖尔市,63,17
15日,巴彦淖尔市,97,40
16日,巴彦淖尔市,378,124
17日,巴彦淖尔市,70,30
18日,巴彦淖尔市,59,22
19日,巴彦淖尔市,68,25
20日,巴彦淖尔市,89,43
21日,巴彦淖尔市,313,112
22日,巴彦淖尔市,80,32
17日,乌兰察布市,77,30
18日,乌兰察布市,37,16
19日,乌兰察布市,60,17
20日,乌兰察布市,90,31
21日,乌兰察布市,62,27
22日,乌兰察布市,60,18
09日,乌兰察布市,50,24
10日,乌兰察布市,56,18
11日,乌兰察布市,91,27
12日,乌兰察布市,51,14
13日,乌兰察布市,45,14
14日,乌兰察布市,48,14
15日,乌兰察布市,67,19
16日,乌兰察布市,129,50
09日,兴安盟,46,25
10日,兴安盟,59,42
11日,兴安盟,135,103
12日,兴安盟,38,15
13日,兴安盟,45,20
14日,兴安盟,50,24
15日,兴安盟,43,24
16日,兴安盟,47,21
17日,兴安盟,65,47
18日,兴安盟,48,21
19日,兴安盟,48,23
20日,兴安盟,57,26
21日,兴安盟,82,60
22日,兴安盟,50,15
09日,锡林郭勒盟,48,8
17日,锡林郭勒盟,45,12
