书名,作者,出版社,出版时间,评分,评分人数,图书链接
杯中日月：酒与大元王朝的社会生活,杨印民,山西人民出版社,2025-2,9.0,38人评价,https://book.douban.com/subject/37195948/
我活下来了,【日】西加奈子,湖南文艺出版社,2025-2-28,8.4,33人评价,https://book.douban.com/subject/37237463/
隐秘的角落,[英] 劳拉·贝茨,译林出版社,2025-2,8.8,53人评价,https://book.douban.com/subject/37119419/
探索之道：社会科学的启发式研究法,(美) 安德鲁·阿伯特,上海文艺出版社,2025-2,9.5,62人评价,https://book.douban.com/subject/37195799/
1517：全球视野下的“奇迹之年”,[德] 海因茨·席林,上海人民出版社,2025-2,9.0,11人评价,https://book.douban.com/subject/37036108/
苏莱曼大帝的崛起：奥斯曼宫廷与16世纪的地中海世界,[英] 克里斯托弗·德·贝莱格,社会科学文献出版社,2025-2,未评分,2人评价,https://book.douban.com/subject/36974070/
在工作中迷失：逃离资本主义,[英] 阿梅利亚·霍尔根,上海文艺出版社,2025-3,7.8,14人评价,https://book.douban.com/subject/37155228/
动物哲学,[法] 拉马克,华夏出版社,2025-3,未评分,1人评价,https://book.douban.com/subject/37109563/
规划社会的来临：重读《大同书》,王东杰,生活·读书·新知三联书店,2025-3,8.3,41人评价,https://book.douban.com/subject/37036092/
东线之战：1915年穿越巴尔干之旅,[美]约翰·里德,浙江人民出版社,2025-2-28,未评分,5人评价,https://book.douban.com/subject/37192252/
夜行者,[韩]尹高恩,新星出版社,2025-3,7.2,44人评价,https://book.douban.com/subject/36836623/
我不能在鸟兽身旁只是悲伤,花蚀,湖南文艺出版社,2025-3,9.1,46人评价,https://book.douban.com/subject/37249494/
对工作说不,(英) 大卫·弗雷恩,上海文艺出版社,2025-3,8.8,26人评价,https://book.douban.com/subject/37194302/
靖康之败：从太原之战到汴京之围,赵大胖,浙江人民出版社,2025-3-1,8.8,51人评价,https://book.douban.com/subject/37175402/
萨哈林旅行记,[俄] 契诃夫,上海译文出版社,2025-3,未评分,8人评价,https://book.douban.com/subject/37156588/
声音的言说：通往音乐理解的崭新之路,［奥］尼古劳斯·哈农库特,广东人民出版社,2025-3,未评分,8人评价,https://book.douban.com/subject/37190986/
如何阅读一棵树：探寻树木的生命密语,[英]特里斯坦·古利,上海社会科学院出版社,2025-3,9.3,59人评价,https://book.douban.com/subject/37129165/
圣多纳释放法：持久幸福、成功、平静的秘诀,[美]海尔·德沃斯金,北京科学技术出版社,2025-3,8.8,18人评价,https://book.douban.com/subject/37241957/
只有我一个人觉得特好笑吗？,刘旸,光启书局,2025-3,9.2,25人评价,https://book.douban.com/subject/37261690/
月亮与篝火,[意]切萨雷·帕韦塞,中信出版社,2025-3-1,8.5,30人评价,https://book.douban.com/subject/37232717/
给青年编剧的信3.0,宋方金,江苏凤凰文艺出版社,2025-3,未评分,8人评价,https://book.douban.com/subject/37225540/
看见她们：ADHD女性的困境,(瑞士) 洛塔·博里·斯科格隆,华夏出版社,未知,7.3,22人评价,https://book.douban.com/subject/37144168/
缝纫机与金鱼,[日]永井美糸,湖南文艺出版社,2025-3,8.7,40人评价,https://book.douban.com/subject/37129474/
试刊号,[意] 翁贝托·埃科,上海译文出版社,2025-3,未评分,4人评价,https://book.douban.com/subject/36864830/
央地之间：转移支付的政治及其他,王瑞民,上海远东出版社,2025-2,未评分,3人评价,https://book.douban.com/subject/37275220/
论美国：美国外交及外交政策史,[美] 罗伯特·佐利克,中信出版社,2025-3-10,未评分,5人评价,https://book.douban.com/subject/37183990/
我们工作的理由、不工作的理由、不能工作的理由,[日] 稻泉连,上海译文出版社,2025-3,7.8,43人评价,https://book.douban.com/subject/37214412/
奇想之年,[美] 琼·狄迪恩,新星出版社,2025-2,8.7,29人评价,https://book.douban.com/subject/37045752/
