电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
摔跤吧！爸爸,Dangal,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里 Nitesh Tiwari   ,阿米尔·汗 Aamir Khan / 法缇玛...,2016 ,印度,剧情 传记 运动 家庭,9.0,1653160人评价
天空之城,天空の城ラピュタ,https://movie.douban.com/subject/1291583/,宫崎骏 Hayao Miyazaki   ,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986 ,日本,动画 奇幻 冒险,9.2,946167人评价
鬼子来了,Devils on the Doorstep,https://movie.douban.com/subject/1291858/,姜文 Wen Jiang   ,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000 ,中国大陆,剧情 喜剧,9.3,669284人评价
少年派的奇幻漂流,Life of Pi,https://movie.douban.com/subject/1929463/,李安 Ang Lee   ,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012 ,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1418654人评价
钢琴家,The Pianist,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski   ,艾德里安·布洛迪 Adrien Brod...,2002 ,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,695369人评价
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2002 ,美国 新西兰,剧情 动作 奇幻 冒险,9.2,804172人评价
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 ,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1287995人评价
闻香识女人,Scent of a Woman,https://movie.douban.com/subject/1298624/,马丁·布莱斯 Martin Brest   ,阿尔·帕西诺 Al Pacino / 克里斯...,1992 ,美国,剧情,9.1,953849人评价
死亡诗社,Dead Poets Society,https://movie.douban.com/subject/1291548/,彼得·威尔 Peter Weir   ,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989 ,美国,剧情,9.2,800655人评价
绿皮书,Green Book,https://movie.douban.com/subject/27060077/,彼得·法雷里 Peter Farrelly   ,维果·莫腾森 Viggo Mortensen /...,2018 ,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1765944人评价
大闹天宫,大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan   ,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆) ,1978(中国大陆),中国大陆,9.4,472847人评价
罗马假日,Roman Holiday,https://movie.douban.com/subject/1293839/,威廉·惠勒 William Wyler   ,奥黛丽·赫本 Audrey Hepburn / 格...,1953 ,美国,喜剧 剧情 爱情,9.1,997439人评价
黑客帝国,The Matrix,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,奥黛丽·赫本 Audrey Hepburn / 格...,1999 ,美国,动作 科幻,9.1,890450人评价
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2001 ,新西兰 美国,剧情 动作 奇幻 冒险,9.1,902312人评价
教父2,The Godfather: Part II,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1974 ,美国,剧情 犯罪,9.3,594298人评价
天堂电影院,Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷 Giuseppe Tornatore   ,菲利普·努瓦雷 Philipp...,1988 ,意大利 法国,剧情 爱情,9.2,709862人评价
狮子王,The Lion King,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff   ,乔纳森·泰勒·托马...,1994 ,美国,动画 冒险 歌舞,9.1,902369人评价
辩护人,변호인,https://movie.douban.com/subject/21937445/,杨宇硕 Woo-seok Yang   ,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013 ,韩国,剧情,9.2,626046人评价
饮食男女,飲食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee   ,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994 ,中国台湾 美国,剧情 家庭,9.2,668100人评价
搏击俱乐部,Fight Club,https://movie.douban.com/subject/1292000/,大卫·芬奇 David Fincher   ,爱德华·诺顿 Edward Norton / 布拉...,1999 ,美国,剧情 动作 悬疑 惊悚,9.0,906214人评价
本杰明·巴顿奇事,The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher   ,凯特·布兰切特 Cate Blanchett / ...,2008 ,美国,剧情 爱情 奇幻,9.0,1045338人评价
美丽心灵,A Beautiful Mind,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard   ,罗素·克劳 Russell Crowe / 艾德·哈...,2001 ,美国,传记 剧情,9.1,813965人评价
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,马克·赫尔曼 Mark Herman   ,阿萨·巴特菲尔德 Asa Butterfield ...,2008 ,英国 美国,剧情 战争,9.2,605949人评价
窃听风暴,Das Leben der Anderen,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,阿萨·巴特菲尔德 Asa Butterfield ...,2006 ,德国,剧情 悬疑,9.2,600573人评价
情书,Love Letter,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai   ,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 ,日本,剧情 爱情,8.9,1201944人评价
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1293350/,盖·里奇 Guy Ritchie   ,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998 ,英国,剧情 喜剧 犯罪,9.1,635753人评价
音乐之声,The Sound of Music,https://movie.douban.com/subject/1294408/,罗伯特·怀斯 Robert Wise   ,朱莉·安德鲁斯 Julie Andrews / 克...,1965 ,美国,剧情 传记 爱情 歌舞,9.1,642801人评价
看不见的客人,Contratiempo,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo   ,马里奥·卡萨斯 Mario Casas / 阿...,2016 ,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1358592人评价
西西里的美丽传说,Malèna,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore   ,莫妮卡·贝鲁奇 Monica ...,2000 ,意大利 美国,剧情 战争 情色,8.9,1036951人评价
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 ,美国 英国,奇幻 冒险,9.0,893871人评价
阿凡达,Avatar,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron   ,萨姆·沃辛顿 Sam Worthington ...,2009 ,美国,动作 科幻 冒险,8.8,1495798人评价
拯救大兵瑞恩,Saving Private Ryan,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,1998 ,美国,剧情 战争,9.1,685979人评价
功夫,功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,周星驰 Stephen Chow   ,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004 ,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,1232777人评价
小鞋子,بچه های آسمان,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi   ,默罕默德·阿米尔·纳吉 Mohamma...,1997 ,伊朗,剧情 儿童 家庭,9.2,437389人评价
飞越疯人院,One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292224/,米洛斯·福尔曼 Miloš Forman   ,杰克·尼科尔森 Jack Nichols...,1975 ,美国,剧情,9.1,576297人评价
沉默的羔羊,The Silence of the Lambs,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme   ,朱迪·福斯特 Jodie Foster / 安...,1991 ,美国,剧情 犯罪 惊悚,8.9,954438人评价
布达佩斯大饭店,The Grand Budapest Hotel,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson   ,拉尔夫·费因斯 Ralph Fiennes / ...,2014 ,美国 德国 英国,剧情 喜剧 冒险,8.9,1013900人评价
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,https://movie.douban.com/subject/1291544/,Alfonso Cuarón   ,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004 ,英国 美国,奇幻 冒险,9.0,800699人评价
蝴蝶效应,The Butterfly Effect,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004 ,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,1001829人评价
禁闭岛,Shutter Island,https://movie.douban.com/subject/2334904/,Martin Scorsese   ,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 ,美国,剧情 悬疑 惊悚,8.9,1046258人评价
致命魔术,The Prestige,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan   ,休·杰克曼 Hugh Jackman...,2006 ,英国 美国,剧情 悬疑 惊悚,8.9,914267人评价
心灵捕手,Good Will Hunting,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant   ,马特·达蒙 Matt Damon / 罗宾·...,1997 ,美国,剧情,9.0,769702人评价
超脱,Detachment,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye   ,艾德里安·布洛迪 Adrien Brody / 马西...,2011 ,美国,剧情,9.0,666145人评价
低俗小说,Pulp Fiction,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino   ,约翰·特拉沃尔塔 John Tra...,1994 ,美国,剧情 喜剧 犯罪,8.9,897247人评价
摩登时代,Modern Times,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1936 ,美国,剧情 喜剧 爱情,9.3,323992人评价
喜剧之王,喜劇之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,周星驰 Stephen Ch...,1999 ,中国香港,喜剧 剧情 爱情,8.8,1028748人评价
春光乍泄,春光乍洩,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997 ,中国香港 日本 韩国,剧情 爱情 同性,9.0,672025人评价
海豚湾,The Cove,https://movie.douban.com/subject/3442220/,路易·西霍尤斯 Louie Psihoyos   ,路易·西霍尤斯 Louie Psihoyo...,2009 ,美国,纪录片,9.3,370530人评价
致命ID,Identity,https://movie.douban.com/subject/1297192/,詹姆斯·曼高德 James Mangold   ,约翰·库萨克 John Cusack / 雷...,2003 ,美国,剧情 悬疑 惊悚,8.9,887775人评价
杀人回忆,살인의 추억,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 ,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,776823人评价
美国往事,Once Upon a Time in America,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone   ,罗伯特·德尼罗 Robert De Niro ...,1984 ,美国 意大利,犯罪 剧情,9.1,443029人评价
哈利·波特与密室,Harry Potter and the Chamber of Secrets,https://movie.douban.com/subject/1296996/,Chris Columbus   ,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002 ,英国 美国,奇幻 冒险,8.9,833474人评价
一一,Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang   ,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000 ,中国台湾 日本,剧情 爱情 家庭,9.1,444212人评价
红辣椒,パプリカ,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon   ,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006 ,日本,动画 悬疑 科幻 惊悚,9.1,519255人评价
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski   ,约翰尼·德普 Johnny Depp / ...,2003 ,美国,动作 冒险 奇幻,8.8,913769人评价
七宗罪,Se7en,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher   ,摩根·弗里曼 Morgan Freeman / 布...,1995 ,美国,剧情 犯罪 悬疑 惊悚,8.8,997585人评价
唐伯虎点秋香,唐伯虎點秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee   ,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993 ,中国香港,喜剧 爱情 古装,8.7,1151780人评价
狩猎,Jagten,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg   ,麦斯·米科尔森 Mads Mik...,2012 ,丹麦 瑞典,剧情,9.1,428467人评价
7号房的礼物,7번방의 선물,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee   ,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013 ,韩国,剧情 喜剧 家庭,8.9,590420人评价
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2012 ,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,768752人评价
甜蜜蜜,Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan   ,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996 ,中国香港,剧情 爱情,8.9,616561人评价
被嫌弃的松子的一生,嫌われ松子の一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima   ,中谷美纪 Miki Nakatani / 瑛太 E...,2006 ,日本,剧情 歌舞,8.8,740036人评价
爱在黎明破晓前,Before Sunrise,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,1995 ,美国 奥地利 瑞士,剧情 爱情,8.8,740675人评价
超能陆战队,Big Hero 6,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,斯科特...,2014 ,美国,喜剧 动作 科幻 动画 冒险,8.8,1080733人评价
第六感,The Sixth Sense,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan   ,布鲁斯·威利斯 Bruce Wi...,1999 ,美国,剧情 悬疑 惊悚,8.9,596822人评价
寄生虫,기생충,https://movie.douban.com/subject/27010768/,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019 ,韩国,剧情,8.8,1459775人评价
重庆森林,重慶森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong   ,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994 ,中国香港,剧情 爱情,8.8,868027人评价
入殓师,おくりびと,https://movie.douban.com/subject/2149806/,泷田洋二郎 Yôjirô Takita   ,本木雅弘 Masahiro Motoki / ...,2008 ,日本,剧情,8.9,709062人评价
请以你的名字呼唤我,Call Me by Your Name,https://movie.douban.com/subject/26799731/,卢卡·瓜达尼诺 Luca Guadagnino   ,艾米·汉莫 Armie Hammer / ...,2017 ,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,775961人评价
爱在日落黄昏时,Before Sunset,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2004 ,美国 法国,剧情 爱情,8.9,607499人评价
幽灵公主,もののけ姫,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki   ,松田洋治 Yôji Matsuda / 石田百合...,1997 ,日本,动画 奇幻 冒险,8.9,560269人评价
剪刀手爱德华,Edward Scissorhands,https://movie.douban.com/subject/1292370/,蒂姆·波顿 Tim Burton   ,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990 ,美国,剧情 爱情 奇幻,8.7,1080055人评价
断背山,Brokeback Mountain,https://movie.douban.com/subject/1418834/,李安 Ang Lee   ,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005 ,美国 加拿大,剧情 爱情 同性 家庭,8.8,743851人评价
勇敢的心,Braveheart,https://movie.douban.com/subject/1294639/,梅尔·吉布森 Mel Gibson   ,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995 ,美国,动作 传记 剧情 历史 战争,8.9,582204人评价
菊次郎的夏天,菊次郎の夏,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano   ,北野武 Takeshi Kitano / 关口雄介 Yus...,1999 ,日本,剧情 喜剧,8.9,637186人评价
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi   ,志田未来 Mirai Shida / 神木...,2010 ,日本,动画 奇幻 冒险,8.9,592142人评价
未麻的部屋,Perfect Blue,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon   ,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997 ,日本,剧情 犯罪 动画 悬疑 惊悚,9.1,385111人评价
消失的爱人,Gone Girl,https://movie.douban.com/subject/21318488/,大卫·芬奇 David Fincher   ,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014 ,美国,剧情 犯罪 悬疑 惊悚,8.7,1018666人评价
无人知晓,誰も知らない,https://movie.douban.com/subject/1292337/,是枝裕和 Hirokazu Koreeda   ,柳乐优弥 Yûya Yagira / 北浦爱...,2004 ,日本,剧情,9.1,349079人评价
时空恋旅人,About Time,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯 Richard Curtis   ,多姆纳尔·格里森 Domhnall Gl...,2013 ,英国 美国,喜剧 爱情 奇幻,8.8,732384人评价
